id,order_id,customer_id,amount,payment_date,payment_method,status
33,40,3395,2136.45,7/21/2024 11:00,bank_transfer,completed
34,41,4474,8443.39,6/22/2024 11:58,credit_card,completed
35,42,419,2688.05,12/17/2024 10:18,bank_transfer,completed
36,44,4884,3031.15,12/19/2024 10:59,paypal,completed
37,45,1185,4671.69,9/11/2024 14:29,paypal,completed
38,48,3929,1379.54,5/17/2024 11:33,credit_card,pending
39,49,1775,231.44,12/13/2024 15:47,credit_card,completed
40,50,710,1303.81,2/18/2025 21:42,credit_card,completed
41,51,1096,2327.85,8/26/2024 22:17,credit_card,completed
42,52,1262,3579.42,6/7/2024 15:18,bank_transfer,pending
43,53,3879,5510.8,11/22/2024 16:58,credit_card,completed
44,54,573,15640.5,11/8/2024 5:57,credit_card,completed
45,55,719,4757.01,3/2/2025 2:39,paypal,completed
46,56,1507,3986.05,12/7/2024 13:24,paypal,completed
47,57,1158,5118.81,1/28/2025 12:29,paypal,completed
48,58,3443,3355.68,8/16/2024 22:28,credit_card,pending
49,59,2130,6015.62,12/16/2024 4:40,bank_transfer,completed
50,61,3324,9199,9/25/2024 4:32,bank_transfer,completed
51,62,2106,7773.95,9/22/2024 12:08,bank_transfer,completed
52,63,2548,624.32,4/6/2025 1:18,credit_card,pending
53,64,407,869.12,5/21/2024 22:06,credit_card,completed
54,65,3572,7828.73,8/14/2024 3:39,paypal,completed
55,67,957,6328.36,9/7/2024 11:28,paypal,completed
56,68,674,5003.52,6/26/2024 1:06,bank_transfer,completed
57,69,2727,1244.89,7/6/2024 4:43,paypal,completed
58,72,3894,7380.36,3/11/2025 0:38,bank_transfer,pending
59,73,831,2236.42,6/10/2024 13:55,paypal,completed
60,75,2820,5988.71,2/4/2025 19:01,bank_transfer,pending
61,77,2730,6493.17,11/20/2024 1:20,paypal,pending
62,78,4007,7932.94,11/10/2024 9:04,credit_card,pending
63,79,2779,8120.95,8/4/2024 22:28,paypal,completed
64,81,2870,239.26,2/24/2025 0:49,paypal,completed
65,82,2814,1281.6,10/20/2024 3:38,credit_card,completed
66,83,635,13878.5,3/30/2025 10:05,bank_transfer,completed
67,84,1640,9101.34,12/5/2024 0:27,paypal,pending
68,85,486,6943.6,2/4/2025 5:31,credit_card,completed
69,86,3146,11694.4,3/16/2025 10:57,credit_card,completed
70,87,4985,3942.15,3/12/2025 0:09,paypal,completed
71,90,4008,4932.13,12/1/2024 5:42,credit_card,completed
72,91,3636,611.82,6/19/2024 4:07,paypal,completed
73,92,1688,4848.41,5/19/2024 4:37,paypal,completed
74,93,2185,13507.1,7/21/2024 18:55,credit_card,completed
75,94,4386,2644.07,8/16/2024 0:10,credit_card,completed
76,95,24,3906.85,1/28/2025 0:24,bank_transfer,completed
77,97,1390,3933.47,6/15/2024 11:20,paypal,pending
78,98,3409,196.12,7/25/2024 20:53,credit_card,completed
79,100,3501,12132,4/28/2025 17:45,bank_transfer,pending
80,101,2604,5223.98,6/25/2024 19:58,paypal,completed
81,102,2085,4280.94,3/27/2025 22:33,bank_transfer,completed
82,104,2345,8356.39,7/31/2024 5:33,bank_transfer,completed
83,105,1207,1689.61,10/12/2024 20:03,paypal,completed
84,106,3628,4298.56,4/22/2025 5:06,paypal,completed
85,107,2732,4589.13,6/5/2024 8:29,credit_card,pending
86,108,3730,3918.12,10/4/2024 23:43,bank_transfer,completed
87,109,2840,731.51,4/19/2025 9:46,bank_transfer,pending
88,110,4492,842.56,12/5/2024 19:52,credit_card,pending
89,111,2504,930.66,11/9/2024 13:32,bank_transfer,completed
90,112,4164,7669.04,9/20/2024 21:11,paypal,completed
91,113,365,4876.45,9/17/2024 5:36,credit_card,completed
92,114,657,3432.36,7/5/2024 12:13,paypal,completed
93,115,1703,5911.24,2/18/2025 19:04,paypal,pending
94,116,4726,4152.22,9/6/2024 18:36,credit_card,completed
95,117,2726,10174.8,10/19/2024 21:43,credit_card,completed
96,118,81,2212.98,6/16/2024 5:07,paypal,completed
97,119,2917,731.6,12/7/2024 15:17,credit_card,completed
98,121,3176,5479.75,4/3/2025 12:03,paypal,completed
99,123,880,3415.36,12/4/2024 14:13,bank_transfer,completed
100,127,2430,2943.03,5/5/2024 3:57,bank_transfer,completed
101,128,766,10926.1,4/24/2025 18:49,bank_transfer,completed
102,130,185,3896.82,12/20/2024 22:45,bank_transfer,completed
103,131,1034,913.94,3/23/2025 3:56,paypal,completed
104,132,725,6117.26,2/26/2025 13:36,paypal,completed
105,133,1999,1448.46,7/19/2024 22:07,paypal,completed
106,134,2935,579.78,6/19/2024 16:14,bank_transfer,completed
107,135,2667,1664.68,11/5/2024 0:55,bank_transfer,completed
108,136,718,8555.59,7/25/2024 5:25,paypal,completed
109,137,2351,3938.93,9/30/2024 5:44,credit_card,completed
110,138,1735,8328.01,5/7/2024 2:08,bank_transfer,completed
111,139,875,2323.83,10/10/2024 9:51,credit_card,completed
112,140,1495,6377.18,7/14/2024 19:41,credit_card,completed
113,141,3081,650.73,4/17/2025 3:56,credit_card,pending
114,142,2701,653.86,1/18/2025 2:29,bank_transfer,pending
115,143,4342,9339.12,9/25/2024 20:49,credit_card,completed
116,144,2988,737.7,1/14/2025 2:44,paypal,completed
117,145,1305,1498.06,6/13/2024 13:25,paypal,pending
118,146,4449,3949.44,8/13/2024 20:13,paypal,completed
119,148,4220,7546.85,9/28/2024 16:30,paypal,completed
120,149,3755,3460.49,12/22/2024 11:31,credit_card,completed
121,150,3705,6587.19,10/31/2024 5:10,bank_transfer,completed
122,151,1897,6202.25,6/14/2024 13:46,credit_card,completed
123,152,270,3082.92,2/7/2025 13:28,credit_card,completed
124,153,1926,10915.5,10/19/2024 6:23,paypal,completed
125,154,4732,4806.48,11/30/2024 22:07,paypal,completed
126,156,275,7206.42,5/1/2025 15:37,credit_card,completed
127,158,2480,4195,10/9/2024 7:41,paypal,completed
128,160,1278,9932.07,12/22/2024 16:21,bank_transfer,pending
129,162,98,8630.56,2/18/2025 8:37,paypal,completed
130,163,1750,1360.56,7/29/2024 10:52,credit_card,completed
131,164,1560,4426.24,1/2/2025 5:33,paypal,completed
132,165,2289,4065.67,7/10/2024 13:26,bank_transfer,completed
133,166,325,5435.39,4/20/2025 4:12,paypal,completed
134,168,4741,1526.54,5/22/2024 0:35,paypal,pending
135,169,967,1219.11,1/16/2025 19:45,bank_transfer,completed
136,170,4821,3470.65,11/23/2024 16:39,bank_transfer,completed
137,171,1791,8650.4,8/28/2024 19:12,bank_transfer,pending
138,173,908,3368.36,8/27/2024 8:33,bank_transfer,completed
139,174,1073,5987.92,11/3/2024 19:48,bank_transfer,completed
140,175,4155,482.15,11/26/2024 11:06,credit_card,completed
141,177,3634,857.55,8/13/2024 5:48,bank_transfer,completed
142,178,3905,7097.26,2/2/2025 15:55,bank_transfer,completed
143,181,3047,5110.26,10/11/2024 6:43,bank_transfer,completed
144,182,2693,411.6,2/2/2025 10:31,bank_transfer,completed
145,184,3250,3182.45,1/10/2025 5:06,credit_card,completed
146,185,3081,2978.36,7/21/2024 20:25,credit_card,completed
147,186,201,5789.38,9/30/2024 6:26,bank_transfer,completed
148,188,4485,3162.43,3/7/2025 22:17,credit_card,completed
149,189,3035,6858.5,8/28/2024 3:15,paypal,completed
150,190,2231,7035.76,6/20/2024 8:08,bank_transfer,completed
151,191,3422,8642.96,5/17/2024 20:26,paypal,completed
152,194,1675,8155.98,5/5/2024 17:11,paypal,completed
153,195,2734,5909.17,1/7/2025 16:18,bank_transfer,completed
154,196,796,3112.17,5/27/2024 16:50,credit_card,completed
155,197,610,4335.4,5/23/2024 23:09,credit_card,completed
156,198,3453,1002.14,7/27/2024 15:08,bank_transfer,completed
157,199,2658,2543.06,2/27/2025 2:29,paypal,pending
158,201,1534,3827.94,3/25/2025 3:17,credit_card,pending
159,202,673,8986.81,11/2/2024 14:53,paypal,completed
160,204,1358,478.76,5/12/2024 0:53,bank_transfer,pending
161,206,2976,3129.15,9/27/2024 17:32,bank_transfer,pending
162,208,1001,1495.52,2/22/2025 7:01,paypal,completed
163,209,3600,8935.13,10/28/2024 14:56,paypal,completed
164,210,2989,427.46,8/5/2024 14:19,paypal,completed
165,212,69,1585.08,11/13/2024 8:38,bank_transfer,completed
166,214,4104,8428.65,2/28/2025 5:06,paypal,completed
167,216,694,5756.7,1/4/2025 20:43,bank_transfer,completed
168,217,2074,11608.8,9/26/2024 4:01,paypal,pending
169,218,4584,1067.15,3/1/2025 3:09,paypal,completed
170,219,3024,6414.82,11/15/2024 3:20,credit_card,pending
171,220,3526,10662.9,6/27/2024 11:50,bank_transfer,completed
172,221,3506,1471.37,12/30/2024 3:42,credit_card,completed
173,222,2479,7390.47,1/11/2025 0:12,credit_card,pending
174,223,348,455,10/21/2024 12:26,bank_transfer,completed
175,224,2924,2275,7/23/2024 17:06,bank_transfer,completed
176,225,2355,12127.5,1/19/2025 14:28,bank_transfer,completed
177,226,3286,938.04,5/21/2024 14:20,paypal,pending
178,227,2647,3668.35,12/8/2024 18:50,credit_card,completed
179,228,98,7683.61,4/24/2025 14:23,paypal,completed
180,229,2312,626.13,9/29/2024 18:20,paypal,completed
181,231,1226,4053.67,9/1/2024 2:56,credit_card,completed
182,232,2640,6999.99,8/10/2024 11:36,credit_card,completed
183,233,1701,3404.74,11/26/2024 9:23,paypal,completed
184,234,3610,5595.89,8/25/2024 12:51,credit_card,completed
185,235,1414,3697.15,11/7/2024 3:03,bank_transfer,completed
186,236,4567,1931.41,2/9/2025 8:31,bank_transfer,pending
187,237,869,5560.1,1/22/2025 6:00,credit_card,completed
188,238,3996,4632.93,12/6/2024 13:38,bank_transfer,completed
189,239,2511,199.68,10/21/2024 4:53,credit_card,completed
190,242,3184,3952.56,4/1/2025 9:41,paypal,completed
191,243,989,8128.89,12/29/2024 14:26,paypal,completed
192,245,4137,4792.05,9/18/2024 16:28,credit_card,completed
193,246,3180,6594.04,7/12/2024 10:03,paypal,completed
194,247,843,2645.49,12/11/2024 22:04,paypal,completed
195,248,1728,2506.86,2/12/2025 9:00,bank_transfer,pending
196,249,1463,7577.97,7/24/2024 12:51,bank_transfer,pending
197,250,4758,2010,8/8/2024 7:34,credit_card,pending
198,252,3654,6570.13,12/9/2024 18:41,bank_transfer,pending
199,253,3801,4908.32,7/20/2024 23:26,paypal,completed
200,254,4059,2492.76,11/14/2024 4:57,paypal,completed
201,255,820,6692.1,7/18/2024 4:45,paypal,completed
202,257,4174,6114,12/27/2024 3:03,bank_transfer,completed
203,258,3777,8527.85,3/11/2025 11:17,bank_transfer,completed
204,259,2034,8205.71,4/10/2025 11:00,credit_card,completed
205,260,2907,3084.5,5/27/2024 23:40,bank_transfer,completed
206,261,1427,2403.67,1/10/2025 23:27,bank_transfer,completed
207,262,1490,6713.41,2/12/2025 0:23,bank_transfer,completed
208,263,2556,4687.72,2/16/2025 22:37,paypal,completed
209,264,1928,2494.98,9/8/2024 1:59,credit_card,completed
210,265,4521,3078.79,6/21/2024 16:14,credit_card,completed
211,266,2665,1017.64,6/29/2024 6:12,credit_card,pending
212,267,2342,527.44,6/16/2024 0:48,credit_card,completed
213,268,3022,1668.88,5/19/2024 21:06,bank_transfer,completed
214,270,1020,255.76,5/22/2024 13:20,paypal,completed
215,273,2217,1735.58,1/20/2025 4:20,paypal,completed
216,275,4731,1402.86,8/18/2024 22:53,bank_transfer,completed
217,276,2106,4417.98,5/22/2024 3:08,paypal,completed
218,278,4832,5471.6,4/24/2025 23:06,credit_card,completed
219,279,4902,3786.2,11/29/2024 11:24,credit_card,pending
220,280,157,9133.36,6/27/2024 15:54,credit_card,completed
221,281,500,5463.9,10/2/2024 14:21,credit_card,completed
222,282,4228,5494.62,12/8/2024 19:50,credit_card,completed
223,283,3116,3320.84,3/2/2025 20:54,paypal,completed
224,284,2299,8598.12,10/17/2024 14:56,bank_transfer,pending
225,285,3868,2907.39,4/5/2025 20:13,paypal,pending
226,286,3952,951.44,11/26/2024 6:00,paypal,completed
227,287,477,5874.17,3/31/2025 10:39,paypal,completed
228,288,4733,420.77,5/21/2024 7:38,paypal,completed
229,289,231,92.58,7/18/2024 21:29,credit_card,completed
230,290,799,969.41,10/26/2024 2:23,credit_card,completed
231,291,1546,8681.64,7/6/2024 7:20,credit_card,pending
232,292,579,1074.31,6/20/2024 7:58,paypal,pending
233,293,800,6069.58,3/12/2025 15:39,bank_transfer,pending
234,294,3002,3869.24,9/25/2024 4:58,bank_transfer,completed
235,295,3916,6278.48,12/15/2024 17:21,bank_transfer,pending
236,296,4396,2078,4/15/2025 0:03,credit_card,completed
237,298,2887,654.07,11/4/2024 23:10,paypal,completed
238,299,3658,3713.16,4/14/2025 4:49,credit_card,completed
239,300,1401,666.16,10/20/2024 23:19,bank_transfer,completed
240,301,376,3951.41,7/6/2024 20:52,credit_card,completed
241,302,4530,4148.81,5/18/2024 7:54,paypal,completed
242,303,2806,8912.04,2/21/2025 2:47,paypal,pending
243,306,1470,123.42,5/13/2024 15:41,credit_card,pending
244,307,4032,4469.72,6/4/2024 13:26,bank_transfer,pending
245,308,4676,5969.78,9/17/2024 19:24,bank_transfer,completed
246,309,642,1419.66,11/25/2024 18:18,paypal,completed
247,310,2302,5661.01,2/4/2025 8:15,credit_card,completed
248,311,1638,740.58,10/21/2024 9:02,credit_card,completed
249,312,3418,5054.06,12/2/2024 12:06,credit_card,completed
250,313,3354,4283.41,4/18/2025 10:30,paypal,completed
251,314,1534,4880.33,5/17/2024 7:04,paypal,completed
252,315,211,389.95,10/29/2024 0:52,paypal,pending
253,316,4199,1476.48,5/1/2025 23:58,bank_transfer,pending
254,317,3183,11891.8,2/12/2025 22:04,paypal,completed
255,318,2531,1701.01,8/27/2024 17:44,paypal,completed
256,319,4787,3420.14,8/6/2024 20:19,bank_transfer,pending
257,320,1056,2068.75,9/23/2024 20:13,credit_card,completed
258,322,4308,9363.58,2/8/2025 5:44,paypal,pending
259,323,3691,841.68,9/25/2024 0:36,credit_card,completed
260,324,866,846.29,5/25/2024 20:31,credit_card,completed
261,325,4598,2901.92,12/22/2024 10:41,credit_card,completed
262,326,3469,3098.98,11/1/2024 17:05,credit_card,completed
263,329,3503,7309.71,6/3/2024 6:01,credit_card,pending
264,330,2692,7767.81,12/4/2024 5:10,bank_transfer,completed
265,331,3969,2655.2,7/10/2024 3:45,credit_card,completed
266,333,2233,4265.51,5/31/2024 0:17,credit_card,completed
267,334,3709,1405.31,5/8/2024 4:12,bank_transfer,completed
268,336,4856,1276.6,6/21/2024 2:04,paypal,completed
269,337,3061,2105.33,9/11/2024 0:57,bank_transfer,completed
270,339,1264,7932.17,10/25/2024 12:16,bank_transfer,completed
271,340,1981,7652.93,7/28/2024 2:27,paypal,completed
272,341,845,98.73,3/18/2025 22:55,bank_transfer,pending
273,342,1858,3738.28,12/21/2024 12:43,paypal,completed
274,343,99,11727.6,4/30/2025 22:32,paypal,pending
275,344,4171,686,5/25/2024 9:51,credit_card,completed
276,345,1827,708.6,5/5/2024 12:35,bank_transfer,completed
277,347,2606,98.25,4/6/2025 10:43,bank_transfer,completed
278,348,893,4536.28,8/3/2024 11:17,credit_card,completed
279,349,3781,4956.43,2/7/2025 20:01,credit_card,completed
280,350,454,2904.67,5/6/2024 16:26,bank_transfer,completed
281,351,1519,4599.13,4/20/2025 3:43,paypal,completed
282,352,4433,729.64,11/17/2024 21:25,paypal,completed
283,353,4356,4635.76,10/14/2024 8:52,credit_card,completed
284,354,843,3711.2,2/27/2025 12:19,paypal,completed
285,355,718,5322.8,8/17/2024 22:32,paypal,completed
286,356,396,2657.6,12/12/2024 23:12,paypal,completed
287,358,3962,2963.98,5/3/2025 18:19,bank_transfer,completed
288,359,2657,885.75,8/29/2024 22:34,paypal,pending
289,362,1507,1461.62,6/18/2024 21:09,paypal,completed
290,363,1897,7895.83,5/22/2024 20:10,bank_transfer,completed
291,364,206,5827.58,3/24/2025 12:10,paypal,pending
292,365,3367,8020.25,10/22/2024 1:29,paypal,completed
293,366,1170,2976.68,6/16/2024 2:59,paypal,completed
294,367,2761,9491.27,3/4/2025 23:16,credit_card,pending
295,368,4707,6049.25,4/13/2025 12:41,bank_transfer,completed
296,369,1237,1782.47,12/17/2024 4:13,paypal,completed
297,370,2750,8155.4,10/27/2024 9:45,bank_transfer,completed
298,371,2199,1805.97,2/1/2025 4:02,credit_card,completed
299,372,1408,5605.32,7/17/2024 22:04,paypal,completed
300,373,2259,8858.09,2/2/2025 14:32,paypal,pending
301,374,4778,7004.2,12/26/2024 3:26,credit_card,completed
302,375,181,6081.37,5/3/2025 0:45,paypal,completed
303,376,4585,2763.64,5/30/2024 22:38,paypal,completed
304,377,4111,3239.67,7/2/2024 1:47,credit_card,completed
305,378,3850,4075.24,10/7/2024 21:26,paypal,completed
306,379,79,1858.43,6/16/2024 4:39,credit_card,pending
307,380,2889,4054.26,1/1/2025 9:26,bank_transfer,completed
308,382,957,3995.13,3/27/2025 11:13,bank_transfer,completed
309,383,4355,3991.81,12/11/2024 14:16,credit_card,completed
310,384,2744,9925.69,5/18/2024 21:03,paypal,completed
311,385,4190,6083.57,8/30/2024 23:27,credit_card,completed
312,386,3939,1839.67,8/2/2024 1:00,credit_card,completed
313,387,524,1393.26,1/21/2025 7:09,credit_card,pending
314,388,2262,8879.9,11/30/2024 10:50,credit_card,completed
315,389,2733,7172.6,4/8/2025 14:12,credit_card,completed
316,390,596,6419.47,12/6/2024 0:30,paypal,completed
317,391,1397,6886.03,8/2/2024 0:28,paypal,completed
318,392,2457,5174.58,10/6/2024 13:11,credit_card,completed
319,393,3756,6604.4,9/13/2024 16:36,bank_transfer,completed
320,394,2938,4140.17,10/12/2024 14:13,credit_card,pending
321,397,771,1764.91,5/1/2025 19:08,paypal,completed
322,398,3821,1774.44,1/7/2025 7:16,credit_card,pending
323,399,3349,7157.96,11/24/2024 5:05,paypal,completed
324,400,4402,164.96,4/9/2025 7:06,bank_transfer,completed
325,401,4532,515.79,1/7/2025 9:14,paypal,pending
326,402,4876,6991.41,12/9/2024 13:29,paypal,pending
327,403,3554,2376.41,6/1/2024 11:35,paypal,completed
328,404,1043,436.65,5/22/2024 23:08,credit_card,completed
329,405,1498,6246.27,12/29/2024 4:35,paypal,completed
330,406,2319,1743.24,10/2/2024 22:04,bank_transfer,completed
331,407,1606,10411.6,2/16/2025 9:52,paypal,completed
332,409,3997,419.08,4/20/2025 15:23,credit_card,completed
333,410,435,3922.27,4/23/2025 14:12,paypal,completed
334,411,2758,1436.79,11/14/2024 22:43,credit_card,pending
335,412,121,5198.07,10/25/2024 22:25,bank_transfer,completed
336,413,538,3846.2,12/7/2024 16:38,credit_card,completed
337,414,1690,6403.76,8/22/2024 9:05,credit_card,completed
338,415,2127,1175.81,8/16/2024 20:43,bank_transfer,completed
339,416,4944,521.88,9/15/2024 8:28,paypal,pending
340,419,127,5149.4,10/17/2024 7:21,bank_transfer,completed
341,421,547,6584.47,3/4/2025 2:47,credit_card,completed
342,422,4129,3412.77,12/24/2024 22:43,credit_card,completed
343,426,1285,2399.75,7/31/2024 13:14,paypal,completed
344,427,4826,5532.49,2/10/2025 3:38,paypal,pending
345,428,2640,3090.83,1/5/2025 2:09,credit_card,completed
346,429,3808,4735.56,7/24/2024 7:31,credit_card,completed
347,430,3136,11865.7,2/9/2025 23:22,credit_card,completed
348,431,140,191.46,3/29/2025 17:27,paypal,completed
349,432,1901,2895.49,1/11/2025 12:52,credit_card,completed
350,435,2908,2294.83,3/4/2025 12:04,paypal,completed
351,436,484,5982.8,11/2/2024 11:31,credit_card,completed
352,437,1731,5036.4,6/20/2024 3:19,bank_transfer,pending
353,438,82,6117.58,7/18/2024 0:53,credit_card,completed
354,439,1363,3379.44,10/28/2024 19:06,bank_transfer,pending
355,440,3255,2397.15,12/9/2024 13:38,credit_card,pending
356,441,4061,2971.99,11/8/2024 4:15,bank_transfer,completed
357,442,1003,3602.88,6/15/2024 11:53,credit_card,completed
358,444,4103,9167.88,9/12/2024 20:24,bank_transfer,pending
359,445,570,3619.44,12/4/2024 19:46,bank_transfer,completed
360,446,332,74.54,5/12/2024 0:17,bank_transfer,completed
361,448,1513,4894.1,12/8/2024 6:22,credit_card,pending
362,449,3681,4816.29,8/30/2024 14:55,credit_card,completed
363,450,3783,7459.05,3/4/2025 10:20,credit_card,completed
364,451,1307,638.4,10/20/2024 18:30,paypal,completed
365,452,892,5032.69,1/12/2025 10:58,credit_card,completed
366,454,3893,6076.23,2/4/2025 21:26,bank_transfer,completed
367,455,2774,1230.08,3/31/2025 14:36,credit_card,completed
368,456,233,5797.16,1/4/2025 2:46,paypal,completed
369,457,994,7186.7,12/3/2024 1:12,credit_card,completed
370,459,4509,2522.09,3/28/2025 11:11,credit_card,completed
371,460,3447,3215.44,7/12/2024 6:29,paypal,completed
372,461,1581,7390.8,3/25/2025 12:52,paypal,pending
373,463,867,4694.57,4/14/2025 7:43,bank_transfer,completed
374,464,1616,7814.81,3/23/2025 18:53,credit_card,completed
375,465,3174,3144.04,12/28/2024 21:05,paypal,pending
376,466,4288,6980.09,8/7/2024 10:47,paypal,completed
377,467,1441,5709.41,9/4/2024 17:54,credit_card,completed
378,468,1291,4451.5,4/29/2025 3:44,paypal,completed
379,469,1973,5056.22,11/22/2024 16:28,credit_card,completed
380,471,793,3867.34,5/27/2024 6:04,paypal,completed
381,472,4960,618.68,8/3/2024 12:28,paypal,completed
382,473,263,2938.47,7/28/2024 8:32,bank_transfer,completed
383,474,897,3053.26,2/13/2025 13:28,credit_card,completed
384,475,2856,3273.79,6/27/2024 11:08,paypal,completed
385,476,1928,1158.85,11/19/2024 18:28,paypal,completed
386,477,792,3156.7,10/13/2024 7:28,bank_transfer,completed
387,478,4276,4363.87,7/23/2024 21:05,credit_card,completed
388,479,4215,3660.65,11/16/2024 1:35,credit_card,completed
389,480,3635,7154.84,4/6/2025 14:11,bank_transfer,completed
390,481,1178,8158.48,3/22/2025 8:26,bank_transfer,pending
391,482,4724,5906.92,6/16/2024 10:41,credit_card,pending
392,483,543,3292.6,5/23/2024 14:13,credit_card,completed
393,484,3319,4723.68,10/22/2024 4:42,bank_transfer,completed
394,485,1838,4467.25,7/23/2024 1:55,bank_transfer,completed
395,486,2508,3265.49,11/5/2024 21:12,paypal,completed
396,487,3904,4632.4,10/14/2024 7:02,paypal,completed
397,488,1683,10087.4,5/24/2024 11:33,bank_transfer,completed
398,489,3782,2657.6,12/15/2024 6:40,credit_card,pending
399,490,2790,869.33,6/14/2024 23:16,credit_card,completed
400,491,4728,4608.22,8/28/2024 6:06,paypal,completed
401,492,2424,4977.48,7/11/2024 4:11,credit_card,completed
402,494,1325,5359.73,3/1/2025 2:17,paypal,completed
403,495,4619,4920.8,10/11/2024 12:54,bank_transfer,completed
404,496,3881,3263.64,8/8/2024 3:35,credit_card,completed
405,497,2982,8560.8,8/3/2024 20:49,bank_transfer,completed
406,498,1503,2039.27,4/14/2025 5:14,paypal,pending
407,499,4016,5418.31,8/27/2024 23:29,bank_transfer,completed
408,501,1006,1534.85,8/28/2024 23:29,bank_transfer,completed
409,502,4393,1056.88,12/10/2024 1:34,bank_transfer,completed
410,503,325,5717.18,10/12/2024 0:28,bank_transfer,completed
411,504,1475,8579.3,11/29/2024 18:26,paypal,pending
412,505,4159,3150.27,8/29/2024 18:08,paypal,completed
413,506,4745,168.3,6/12/2024 13:21,bank_transfer,completed
414,507,812,1797.16,2/14/2025 12:59,bank_transfer,completed
415,508,3352,1223.8,2/8/2025 14:55,paypal,completed
416,509,3999,5037.46,5/11/2024 10:06,paypal,completed
417,511,1020,5429.94,9/19/2024 2:37,credit_card,completed
418,512,2229,4056.61,11/27/2024 21:52,paypal,completed
419,513,1727,4600.25,6/12/2024 0:58,paypal,completed
420,514,3179,7940.26,3/24/2025 17:04,bank_transfer,pending
421,515,2328,8318.25,10/25/2024 15:53,credit_card,completed
422,516,1952,4896.3,4/30/2025 22:46,bank_transfer,pending
423,517,4156,4352.84,3/28/2025 1:07,paypal,completed
424,518,2352,5409.24,7/22/2024 14:56,bank_transfer,completed
425,519,4721,2037.43,10/30/2024 0:44,paypal,completed
426,520,2318,1910.6,12/13/2024 17:30,bank_transfer,completed
427,522,4254,6032.55,4/22/2025 22:06,bank_transfer,completed
428,523,2197,4472.58,6/3/2024 13:56,paypal,completed
429,524,4154,5293.15,5/4/2025 0:46,paypal,pending
430,525,2709,3677.07,11/4/2024 2:46,credit_card,completed
431,526,2029,3523.11,3/30/2025 11:28,paypal,completed
432,528,573,2100.56,2/25/2025 14:57,bank_transfer,completed
433,529,4024,9621.54,7/22/2024 15:27,paypal,completed
434,530,4440,10720.2,5/14/2024 3:49,bank_transfer,completed
435,531,902,4162.61,4/16/2025 11:06,credit_card,completed
436,532,2266,330.06,6/12/2024 12:24,bank_transfer,completed
437,533,3144,1388.57,7/13/2024 8:19,paypal,completed
438,534,2743,1491.25,8/12/2024 4:41,bank_transfer,pending
439,535,2772,1097.5,7/31/2024 1:49,paypal,completed
440,536,3528,3279.64,2/23/2025 14:20,bank_transfer,completed
441,537,353,1565.04,6/23/2024 0:26,paypal,completed
442,539,21,21.71,9/10/2024 5:19,credit_card,completed
443,540,910,308.26,10/3/2024 5:03,bank_transfer,pending
444,541,4093,8240,11/24/2024 0:55,credit_card,pending
445,543,4772,4124.47,3/29/2025 10:33,credit_card,completed
446,545,343,2831.23,2/15/2025 19:18,credit_card,pending
447,546,4443,6051.95,5/16/2024 4:34,credit_card,completed
448,547,2775,4444.53,9/16/2024 3:58,credit_card,completed
449,548,1913,3367.37,12/23/2024 12:51,bank_transfer,pending
450,549,4077,233.67,5/31/2024 0:09,credit_card,completed
451,550,1343,12322,6/8/2024 7:22,paypal,completed
452,551,4981,3654.51,5/5/2024 20:07,credit_card,completed
